Timestamp,Emotion,Confidence
00-00-00.000,angry,"{'angry': 48.84489059448242, 'disgust': 0.019808627665042877, 'fear': 13.173773765563965, 'happy': 2.8535382747650146, 'sad': 9.556254386901855, 'surprise': 0.00011841353989439085, 'neutral': 25.551620483398438}"
00-00-00.336,fear,"{'angry': 0.18510493636131287, 'disgust': 0.0007657163660041988, 'fear': 45.17617416381836, 'happy': 28.628774642944336, 'sad': 23.872758865356445, 'surprise': 0.2801857590675354, 'neutral': 1.8562400341033936}"
00-00-00.672,happy,"{'angry': 1.842359415604733e-05, 'disgust': 1.9324304378898205e-09, 'fear': 4.221329618303571e-06, 'happy': 98.93162536621094, 'sad': 1.0547428131103516, 'surprise': 8.169472910657394e-12, 'neutral': 0.01361567247658968}"
00-00-01.008,happy,"{'angry': 2.0241803611042997e-07, 'disgust': 2.870145510147637e-10, 'fear': 6.928660695848521e-06, 'happy': 99.80162048339844, 'sad': 1.3411521422312944e-06, 'surprise': 0.0012966077774763107, 'neutral': 0.19707591831684113}"
00-00-01.345,happy,"{'angry': 1.5138745307922363, 'disgust': 0.0008791054133325815, 'fear': 0.1651354432106018, 'happy': 89.74882507324219, 'sad': 1.2532118558883667, 'surprise': 5.533310104510747e-05, 'neutral': 7.318019866943359}"
00-00-01.345,sad,"{'angry': 6.0971455574035645, 'disgust': 0.3813473582267761, 'fear': 2.0959935188293457, 'happy': 3.2033205032348633, 'sad': 87.92333984375, 'surprise': 3.13398480500382e-08, 'neutral': 0.29885774850845337}"
00-00-01.681,surprise,"{'angry': 1.8775399439618923e-06, 'disgust': 2.9786069444259766e-12, 'fear': 0.16076605021953583, 'happy': 0.00032958920928649604, 'sad': 4.381861799629405e-06, 'surprise': 99.82369232177734, 'neutral': 0.015209322795271873}"
00-00-02.017,fear,"{'angry': 0.008753202855587006, 'disgust': 9.506183232588228e-06, 'fear': 90.02056884765625, 'happy': 2.2194700241088867, 'sad': 3.1754817962646484, 'surprise': 1.4503886699676514, 'neutral': 3.125326156616211}"
00-00-02.353,neutral,"{'angry': 0.523366391658783, 'disgust': 1.781972787284758e-05, 'fear': 10.557997703552246, 'happy': 6.115847587585449, 'sad': 24.682546615600586, 'surprise': 0.00019124495156574994, 'neutral': 58.120033264160156}"
00-00-02.689,neutral,"{'angry': 0.003448010189458728, 'disgust': 1.6310352748405421e-06, 'fear': 0.22293643653392792, 'happy': 44.94648361206055, 'sad': 0.42972037196159363, 'surprise': 0.11315707862377167, 'neutral': 54.28425598144531}"
00-00-03.025,fear,"{'angry': 0.0002792850136756897, 'disgust': 5.138851844055381e-11, 'fear': 97.37835693359375, 'happy': 0.7700966000556946, 'sad': 0.03274303302168846, 'surprise': 1.7030467987060547, 'neutral': 0.1154804527759552}"
00-00-03.362,fear,"{'angry': 7.619145617354661e-05, 'disgust': 4.110960877268255e-11, 'fear': 76.42105865478516, 'happy': 18.128122329711914, 'sad': 0.1509402096271515, 'surprise': 3.18127179145813, 'neutral': 2.1185176372528076}"
00-00-03.698,neutral,"{'angry': 0.09587863087654114, 'disgust': 4.9833993216452654e-06, 'fear': 0.267447292804718, 'happy': 8.71996784210205, 'sad': 19.823999404907227, 'surprise': 4.034348876302829e-06, 'neutral': 71.09270477294922}"
00-00-04.034,happy,"{'angry': 0.6036114692687988, 'disgust': 0.01790454611182213, 'fear': 2.0753140449523926, 'happy': 97.12056732177734, 'sad': 0.04045642167329788, 'surprise': 0.005608975887298584, 'neutral': 0.13654160499572754}"
00-00-04.370,happy,"{'angry': 2.040156364440918, 'disgust': 0.00011202292807865888, 'fear': 0.02542180009186268, 'happy': 97.90225982666016, 'sad': 0.009175444021821022, 'surprise': 3.2400366762885824e-05, 'neutral': 0.022853419184684753}"
00-00-04.706,happy,"{'angry': 0.14001616835594177, 'disgust': 0.00011874650226673111, 'fear': 0.5214526057243347, 'happy': 99.02652740478516, 'sad': 0.1449013352394104, 'surprise': 0.0002197369612986222, 'neutral': 0.1667681336402893}"
00-00-05.715,happy,"{'angry': 0.0018137699225917459, 'disgust': 7.754159092598911e-09, 'fear': 3.953342093154788e-05, 'happy': 99.99559783935547, 'sad': 0.0024866145104169846, 'surprise': 1.2244896208102318e-09, 'neutral': 6.737926014466211e-05}"
00-00-06.051,fear,"{'angry': 5.608173523796722e-06, 'disgust': 1.5868439895427855e-10, 'fear': 83.43236541748047, 'happy': 0.053544722497463226, 'sad': 10.085186004638672, 'surprise': 8.353142220585141e-06, 'neutral': 6.428889751434326}"
