Timestamp,Emotion,Confidence
00-00-00.000,sad,"{'angry': 9.345949172973633, 'disgust': 9.421516006113961e-05, 'fear': 0.06324875354766846, 'happy': 9.25988483428955, 'sad': 76.73025512695312, 'surprise': 7.6224109761824366e-06, 'neutral': 4.600558757781982}"
00-00-00.334,sad,"{'angry': 0.782543957233429, 'disgust': 0.004835979081690311, 'fear': 3.2514069080352783, 'happy': 0.007552602328360081, 'sad': 95.94949340820312, 'surprise': 4.0364138840232044e-05, 'neutral': 0.004130554851144552}"
00-00-00.667,angry,"{'angry': 43.10997772216797, 'disgust': 1.820146462705452e-05, 'fear': 0.621894359588623, 'happy': 14.56535816192627, 'sad': 41.406097412109375, 'surprise': 0.00013406520884018391, 'neutral': 0.29652681946754456}"
00-00-01.001,sad,"{'angry': 27.985088348388672, 'disgust': 1.0379543709859718e-05, 'fear': 1.5103696584701538, 'happy': 5.221621036529541, 'sad': 64.9443359375, 'surprise': 0.023250140249729156, 'neutral': 0.3153323531150818}"
00-00-01.335,neutral,"{'angry': 2.825066985678859e-05, 'disgust': 1.3416263542828655e-12, 'fear': 5.496181984199211e-05, 'happy': 0.0001013943983707577, 'sad': 3.520491600036621, 'surprise': 4.972829259486389e-08, 'neutral': 96.47933197021484}"
00-00-01.669,angry,"{'angry': 83.47146606445312, 'disgust': 5.245050884942874e-16, 'fear': 2.4745880011778354e-08, 'happy': 16.38054084777832, 'sad': 0.14699511229991913, 'surprise': 6.593539513070337e-16, 'neutral': 0.001002592733129859}"
00-00-02.002,angry,"{'angry': 99.99440002441406, 'disgust': 1.3551123114255437e-12, 'fear': 0.000270837132120505, 'happy': 7.703826122451574e-05, 'sad': 0.005262061953544617, 'surprise': 4.0878824769663424e-09, 'neutral': 4.248346101576317e-07}"
00-00-02.336,angry,"{'angry': 99.52601623535156, 'disgust': 7.899959655333078e-07, 'fear': 0.02939068153500557, 'happy': 0.002329461043700576, 'sad': 0.441544771194458, 'surprise': 1.9309916751808487e-05, 'neutral': 0.0007026440580375493}"
00-00-02.670,angry,"{'angry': 99.96427154541016, 'disgust': 9.213200757862694e-10, 'fear': 0.0021176415029913187, 'happy': 6.903796020196751e-05, 'sad': 0.03353453800082207, 'surprise': 2.55215923061769e-07, 'neutral': 6.200345978868427e-06}"
00-00-03.004,angry,"{'angry': 99.95037841796875, 'disgust': 6.797890694798525e-09, 'fear': 0.0044996594078838825, 'happy': 4.7053054004209116e-05, 'sad': 0.045060016214847565, 'surprise': 1.9755759694817243e-06, 'neutral': 1.0757446943898685e-05}"
00-00-03.337,happy,"{'angry': 0.01375274546444416, 'disgust': 3.119873508694582e-05, 'fear': 1.1422721147537231, 'happy': 98.49645233154297, 'sad': 0.3421679139137268, 'surprise': 8.07678370620124e-05, 'neutral': 0.005237071309238672}"
00-00-03.671,angry,"{'angry': 99.80315399169922, 'disgust': 1.7618053789192345e-06, 'fear': 0.04912072792649269, 'happy': 0.014855979941785336, 'sad': 0.13185913860797882, 'surprise': 2.8406397234448377e-09, 'neutral': 0.0010176979703828692}"
00-00-04.005,angry,"{'angry': 99.18621826171875, 'disgust': 3.256624836467381e-08, 'fear': 0.6225321292877197, 'happy': 3.6011304018757073e-06, 'sad': 0.19123893976211548, 'surprise': 4.479396522216912e-14, 'neutral': 1.4444827911574976e-07}"
00-00-04.339,angry,"{'angry': 73.01960754394531, 'disgust': 1.6113008882712165e-07, 'fear': 0.09169214963912964, 'happy': 0.09249996393918991, 'sad': 26.703750610351562, 'surprise': 5.9245226502468995e-09, 'neutral': 0.09245409816503525}"
00-00-04.672,happy,"{'angry': 9.36434298637323e-06, 'disgust': 8.702275879386548e-18, 'fear': 1.0349267016290797e-12, 'happy': 99.99976348876953, 'sad': 2.7431169655756094e-05, 'surprise': 8.250363147657355e-14, 'neutral': 0.00019748711201827973}"
